SN,Actual IP Delay (ms),Predicted IP Delay (ms),Absolute Difference (ms)
7450,17.87590980529785,17.77846106620018,0.09744873909767193
7451,17.727136611938477,17.75802352494793,0.030886913009453565
7452,17.6999568939209,17.671852579724145,0.028104314196752966
7453,17.6241397857666,17.611800450595183,0.012339335171418497
7454,17.56000518798828,17.549257328028034,0.010747859960247297
7455,17.496109008789062,17.487782659827644,0.008326348961418262
7456,17.436981201171875,17.42301825481718,0.013962946354695305
7457,17.368078231811523,17.361796037448585,0.006282194362938753
7458,17.287015914916992,17.29529924830331,0.008283333386316372
7459,17.230987548828125,17.222069906324577,0.00891764250354754
7460,17.142057418823242,17.158365074237736,0.016307655414493638
7461,17.071962356567383,17.07994159619375,0.007979239626365597
7462,17.00305938720703,17.005957415335615,0.0028980281285839737
7463,16.963958740234375,16.934150193492314,0.02980854674206057
7464,16.923189163208008,16.87934783512901,0.04384132807899732
7465,16.794919967651367,16.829875180519593,0.034955212868226226
7466,16.78299903869629,16.751806876413866,0.03119216228242294
7467,16.71600341796875,16.708105903035175,0.007897514933574712
7468,16.65806770324707,16.657183478514526,0.0008842247325446806
7469,16.570091247558594,16.600438220677916,0.030346973119321774
7470,16.518831253051758,16.524205400855863,0.005374147804104723
7471,16.520977020263672,16.44642572270527,0.07455129755840062
7472,16.427993774414062,16.408976049433477,0.019017724980585626
7473,16.386032104492188,16.34781700761323,0.03821509687895741
7474,16.252994537353516,16.34114809115772,0.08815355380420442
7475,21.23403549194336,16.617715518236764,4.616319973706595
7476,21.14701271057129,20.210113561006438,0.9368991495648515
7477,21.11101150512696,20.856417853792664,0.25459365133429657
7478,21.012067794799805,20.849797324444808,0.1622704703549971
7479,20.923852920532227,20.800599826998223,0.12325309353400371
7480,20.872116088867188,20.798222616576822,0.07389347229036503
7481,20.86114883422852,20.765737649071525,0.0954111851569941
7482,20.70903778076172,20.788208370504435,0.0791705897427164
7483,20.69997787475586,20.704599805412727,0.004621930656867335
7484,20.63298225402832,20.624962753572618,0.008019500455702655
7485,20.59507369995117,20.61057012360834,0.015496423657172187
7486,20.52783966064453,20.555326541852992,0.027486881208460545
7487,20.44510841369629,20.494158869951207,0.04905045625491766
7488,20.400047302246094,20.421699699909368,0.021652397663274314
7489,20.32303810119629,20.36436545995457,0.04132735875828075
7490,20.291805267333984,20.298826777434442,0.007021510100457817
7491,20.203113555908203,20.248498487944744,0.045384932036540704
7492,20.12300491333008,20.177116486138402,0.054111572808320574
7493,20.06697654724121,20.10266351589962,0.03568696865841048
7494,19.97995376586914,20.03929425154638,0.059340485677239485
7495,19.978046417236328,19.965584641340683,0.012461775895644678
7496,19.83499526977539,19.92394374383366,0.08894847405827022
7497,19.834041595458984,19.831708113542845,0.002333481916139135
7498,19.756078720092773,19.782364826369303,0.02628610627652961
7499,19.68097686767578,19.720781905107287,0.03980503743150621
7500,19.61088180541992,19.651636351227353,0.04075454580743454
7501,19.56796646118164,19.579854852054268,0.011888390872627497
7502,19.491195678710938,19.524918266597524,0.03372258788658655
7503,19.42896842956543,19.458374472833384,0.029406043267954374
7504,19.35100555419922,19.391404369798693,0.04039881559947389
7505,19.28186416625977,19.321621698054514,0.03975753179474495
7506,19.201993942260746,19.250201154136448,0.04820721187570243
7507,19.20795440673828,19.177253337147704,0.03070106959057739
7508,19.06704902648925,19.14008600579109,0.07303697930183972
7509,19.06991004943848,19.050413593504345,0.01949645593413507
7510,18.97311210632324,19.003049695129448,0.029937588806209448
7511,18.92399787902832,18.933420521534572,0.009422642506251577
7512,18.84698867797852,18.872391768809393,0.02540309083087422
7513,18.78499984741211,18.803269005047696,0.018269157635586453
7514,18.70417594909668,18.73836794311501,0.03419199401832884
7515,18.64409446716309,18.6655689321924,0.021474465029310608
7516,18.57995986938477,18.598735402292732,0.018775532907962855
7517,18.505096435546875,18.534621269736817,0.02952483418994234
7518,18.44501495361328,18.461559837305686,0.016544883692404255
7519,18.436908721923828,18.396333010741728,0.04057571118210035
7520,18.38898658752441,18.355576235762783,0.033410351761627766
7521,18.33891868591309,18.308309195390393,0.030609490522696348
7522,18.244028091430664,18.254836204732783,0.010808113302118727
7523,18.1879997253418,18.181744441335468,0.006255284006332573
7524,18.198013305664062,18.11979805120245,0.07821525446161104
7525,18.064022064208984,18.09416017363219,0.030138109423205606
7526,18.03207397460937,18.014265057217926,0.017808917391445078
7527,18.00394058227539,17.95514045238633,0.04880012988905946
7528,17.885923385620117,17.91330617402309,0.027382788402974256
7529,17.842769622802734,17.83507607683532,0.007693545967413229
7530,17.75503158569336,17.77170245554771,0.016670869854351622
7531,17.71688461303711,17.700004743574027,0.016879869463082287
7532,17.6389217376709,17.64349815357491,0.00457641590401181
7533,17.562150955200195,17.575163994933973,0.013013039733777987
7534,17.496824264526367,17.502909265658673,0.006085001132305479
7535,17.42386817932129,17.432019932584808,0.008151753263518913
7536,17.394065856933594,17.3623111611505,0.03175469578309276
7537,17.282962799072266,17.310425100049542,0.027462300977276755
7538,17.270803451538086,17.22730803066952,0.043495420868566725
7539,17.144203186035156,17.17779239322681,0.03358920719165326
7540,17.138957977294922,17.090534644239597,0.0484233330553252
7541,17.068862915039062,17.042174767425422,0.026688147613640467
7542,17.004013061523438,16.981568218398024,0.022444843125413172
7543,16.93105697631836,16.91797976673115,0.013077209587208927
7544,16.8609619140625,16.850501494332093,0.010460419730407011
7545,16.79205894470215,16.790601355182844,0.0014575895193047472
7546,16.72816276550293,16.732411731709362,0.004248966206432669
7547,16.650915145874023,16.675524664037766,0.024609518163742905
7548,16.642093658447266,16.60874526066891,0.03334839777835441
7549,16.499996185302734,16.5648234242326,0.06482723892986542
7550,16.505956649780273,16.46180270563491,0.04415394414536422
7551,16.43085479736328,16.410743896500435,0.020110900862846393
7552,16.401052474975586,16.353512233024503,0.04754024195108286
7553,16.295909881591797,16.342140550534623,0.046230668942826014
7554,16.26276969909668,16.521764595950117,0.25899489685343724
7555,21.16894721984864,18.38567980348671,2.78326741636193
7556,21.11291885375977,20.953277196895215,0.15964165686455445
7557,21.02804183959961,20.878778981568757,0.14926285803085193
7558,20.962953567504883,20.880194314941036,0.08275925256384653
